datetime,open,high,low,close,volume,dividends,stock splits
2024-11-01 09:30:00-04:00,252.04299926757812,254.0,251.69000244140625,252.2100067138672,4086240,0.0,0.0
2024-11-01 09:35:00-04:00,252.16000366210938,253.49000549316406,251.11000061035156,253.35000610351562,1248065,0.0,0.0
2024-11-01 09:40:00-04:00,253.3820037841797,253.7899932861328,252.4300994873047,252.78500366210938,1253268,0.0,0.0
2024-11-01 09:45:00-04:00,252.77000427246094,252.82989501953125,250.4499969482422,251.77520751953125,1585229,0.0,0.0
2024-11-01 09:50:00-04:00,251.74000549316406,251.80999755859375,249.75999450683594,250.0496063232422,1379971,0.0,0.0
2024-11-01 09:55:00-04:00,250.02000427246094,251.32989501953125,249.9539031982422,250.89999389648438,845957,0.0,0.0
2024-11-01 10:00:00-04:00,250.97999572753906,251.14999389648438,249.66000366210938,250.18060302734375,975574,0.0,0.0
2024-11-01 10:05:00-04:00,250.1999969482422,250.8699951171875,249.75999450683594,250.7299041748047,903560,0.0,0.0
2024-11-01 10:10:00-04:00,250.66000366210938,252.52000427246094,250.64010620117188,252.47000122070312,1371632,0.0,0.0
2024-11-01 10:15:00-04:00,252.41070556640625,252.5998992919922,251.7700958251953,252.35000610351562,801035,0.0,0.0
2024-11-01 10:20:00-04:00,252.32000732421875,252.36990356445312,250.91000366210938,251.19009399414062,778063,0.0,0.0
2024-11-01 10:25:00-04:00,251.21499633789062,252.19000244140625,251.10000610351562,252.14669799804688,564452,0.0,0.0
2024-11-01 10:30:00-04:00,252.1898956298828,252.89999389648438,252.1750030517578,252.68499755859375,823324,0.0,0.0
2024-11-01 10:35:00-04:00,252.72479248046875,252.94509887695312,252.0601043701172,252.3533935546875,585134,0.0,0.0
2024-11-01 10:40:00-04:00,251.92990112304688,251.9320068359375,250.89999389648438,251.3000946044922,690377,0.0,0.0
2024-11-01 10:45:00-04:00,251.33920288085938,251.60000610351562,250.63999938964844,251.47000122070312,531830,0.0,0.0
2024-11-01 10:50:00-04:00,251.53500366210938,251.67970275878906,250.810302734375,251.60989379882812,407857,0.0,0.0
2024-11-01 10:55:00-04:00,251.58999633789062,252.5,251.51499938964844,252.4001007080078,600946,0.0,0.0
2024-11-01 11:00:00-04:00,252.39999389648438,252.57000732421875,251.83009338378906,252.4788055419922,509654,0.0,0.0
2024-11-01 11:05:00-04:00,252.4600067138672,252.69000244140625,251.52000427246094,251.67999267578125,460765,0.0,0.0
2024-11-01 11:10:00-04:00,251.68960571289062,252.89999389648438,251.3300018310547,252.87989807128906,553724,0.0,0.0
2024-11-01 11:15:00-04:00,252.85000610351562,253.4499969482422,252.75999450683594,253.14999389648438,882236,0.0,0.0
2024-11-01 11:20:00-04:00,253.14999389648438,253.1999969482422,252.4499969482422,252.8300018310547,602491,0.0,0.0
